feature	importance
d__Eukaryota;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__Chytridiaceae;g__uncultured;s__uncultured_rhizosphere	0.0005456285160226371
d__Eukaryota;p__Mollusca;c__Gastropoda;o__Heterobranchia;f__Heterobranchia;g__Heterobranchia;__	0.0005407252798620048
d__Eukaryota;p__Cryptophyceae;c__Cryptophyceae;o__Cryptomonadales;f__Cryptomonadales;g__Rhodomonas;s__Rhinomonas_pauca	0.0005344729499149484
d__Eukaryota;p__Cercozoa;c__Novel_Clade_2;o__Novel_Clade_2;f__Novel_Clade_2;g__Novel_Clade_2;s__uncultured_eukaryote	0.0005250291798853642
d__Eukaryota;p__Cercozoa;c__Cercozoa;o__Cercozoa;f__Cercozoa;g__Cercozoa;s__Ventrifissura_sp.	0.0005228288050550651
d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Mamiellales;g__Micromonas;s__uncultured_marine	0.0005187893285838114
d__Eukaryota;p__Mollusca;c__Bivalvia;o__Veneroida;f__Veneroida;g__Veneroida;__	0.0005078347824422283
d__Eukaryota;p__Vertebrata;c__Actinopterygii;o__Teleostei;f__Teleostei;g__Teleostei;s__Alosa_alosa	0.00048287066664148316
d__Eukaryota;p__Incertae_Sedis;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Pirsonia;s__uncultured_eukaryote	0.0004774318561535852
d__Eukaryota;p__Cercozoa;c__Cercozoa;o__Cercozoa;f__Cercozoa;g__Cercozoa;s__Lecythium_jennyae	0.00047220708713186996
d__Eukaryota;p__Mollusca;c__Bivalvia;o__Mytiloida;f__Mytiloida;g__Mytiloida;__	0.00046131995566049385
d__Eukaryota;p__Chlorophyta;c__Trebouxiophyceae;o__Trebouxiophyceae;f__Trebouxiophyceae;g__Trebouxiophyceae;s__uncultured_marine	0.0004371073121375702
d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Pedinellales;f__Pedinellales;g__Pedinellales;__	0.0004299759823809886
d__Eukaryota;p__Euglenozoa;c__Kinetoplastea;__;__;__;__	0.00041903523358545355
d__Eukaryota;p__uncultured;c__uncultured;o__uncultured;f__uncultured;g__uncultured;s__uncultured_eukaryote	0.00041502634233250727
d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;__;__;__;__	0.0004119815449789366
d__Eukaryota;p__Chlorophyta;c__Nephroselmidophyceae;o__Nephroselmidales;f__Nephroselmidales;g__Nephroselmis;__	0.00041138339610792584
d__Eukaryota;p__Arthropoda;c__Maxillopoda;o__Cyclopoida;f__Cyclopoida;g__Cyclopoida;__	0.0004052533360970463
d__Eukaryota;p__Apusomonadidae;c__Apusomonadidae;o__Apusomonadidae;f__Apusomonadidae;g__Amastigomonas;__	0.00039171972680662965
d__Eukaryota;p__Peronosporomycetes;c__Peronosporomycetes;o__Peronosporomycetes;f__Peronosporomycetes;g__uncultured;s__uncultured_marine	0.0003894095487898215
d__Eukaryota;p__Cercozoa;c__Chlorarachniophyta;o__Chlorarachniophyta;f__Chlorarachniophyta;g__Minorisa;__	0.0003735103478190077
d__Eukaryota;p__MAST-1;__;__;__;__;__	0.00037108174399437825
d__Eukaryota;p__Nemertea;c__Anopla;o__Heteronemertea;f__Heteronemertea;g__Heteronemertea;__	0.00035817714331326663
d__Eukaryota;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__uncultured_fungus	0.00035688156329123644
d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Mamiellales;__;__	0.00035547258735481096
d__Eukaryota;p__Cercozoa;c__uncultured;o__uncultured;f__uncultured;g__uncultured;s__uncultured_Cercozoa	0.00035124864221471703
d__Eukaryota;p__Holozoa;c__Choanoflagellida;__;__;__;__	0.0003473210030593586
d__Eukaryota;p__Mollusca;c__Bivalvia;__;__;__;__	0.000338798080502429
d__Eukaryota;p__MAST-6;c__MAST-6;o__MAST-6;f__MAST-6;g__MAST-6;s__Pseudophyllomitus_vesiculosus	0.00033600225902547627
d__Eukaryota;p__Bicosoecida;c__Bicosoecida;o__Bicosoecida;f__Bicosoecida;g__Bicosoecida;__	0.00032490893068532227
d__Eukaryota;p__Chlorophyta;c__Nephroselmidophyceae;o__Nephroselmidales;f__Nephroselmidales;g__Nephroselmis;s__Nephroselmis_olivacea	0.00031548063557250487
d__Eukaryota;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Leptothecata;g__Leptothecata;__	0.0002917542702493044
d__Eukaryota;p__Euglenozoa;c__Kinetoplastea;o__Incertae_Sedis;f__Incertae_Sedis;g__Hemistasia;s__Hemistasia_phaeocysticola	0.000288759343616804
d__Eukaryota;p__Aphelidea;c__Aphelidea;o__Aphelidea;f__Aphelidea;g__uncultured;__	0.0002877506443225577
d__Eukaryota;p__Arthropoda;c__Maxillopoda;o__Poecilostomatoida;f__Poecilostomatoida;g__Poecilostomatoida;s__Astericola_clausii	0.00028351833150311187
d__Eukaryota;p__Incertae_Sedis;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Pirsonia;__	0.00028236869103994246
d__Eukaryota;p__Cercozoa;c__Chlorarachniophyta;o__Chlorarachniophyta;f__Chlorarachniophyta;g__NOR26;s__uncultured_marine	0.00027671421962390745
d__Eukaryota;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Anthoathecata;g__Anthoathecata;__	0.00027667822894928275
d__Eukaryota;p__Cercozoa;c__Imbricatea;o__Imbricatea;f__Euglyphida;g__Paulinella;s__uncultured_eukaryote	0.0002709303872105685
d__Eukaryota;p__Cercozoa;c__uncultured;o__uncultured;f__uncultured;g__uncultured;s__uncultured_eukaryote	0.00026825362842369707
d__Eukaryota;p__Mollusca;c__Bivalvia;o__Unionoida;f__Unionoida;g__Unionoida;__	0.000258573160107534
d__Eukaryota;p__Ochrophyta;c__Raphidophyceae;o__Chattonellales;f__Chattonellales;g__Chattonella;s__Chattonella_subsalsa	0.0002559511431033779
d__Eukaryota;p__Cryptophyceae;c__Cryptophyceae;o__Cryptomonadales;f__Cryptomonadales;__;__	0.000255137380061173
d__Eukaryota;p__Labyrinthulomycetes;c__uncultured;o__uncultured;f__uncultured;g__uncultured;__	0.0002457323361586238
d__Eukaryota;p__Cercozoa;c__Imbricatea;o__Marimonadida;f__Marimonadida;g__Marimonadida;s__uncultured_eukaryote	0.00023947387669902208
d__Eukaryota;p__Annelida;c__Polychaeta;o__Eunicida;f__Eunicida;g__Eunicida;__	0.00023476122988869927
d__Eukaryota;p__Phragmoplastophyta;c__Embryophyta;o__Magnoliophyta;f__Magnoliophyta;g__Magnoliophyta;__	0.0002222206562850813
d__Eukaryota;p__Cercozoa;c__Thecofilosea;o__Thecofilosea;f__Thecofilosea;g__uncultured;__	0.00022047296718434296
d__Eukaryota;p__Euglenozoa;c__Kinetoplastea;o__Trypanosomatida;f__Trypanosomatida;__;__	0.0002166378538670792
d__Eukaryota;p__Cryptomycota;c__LKM11;o__LKM11;f__LKM11;g__LKM11;__	0.00021433488891324306
d__Eukaryota;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__Chytridiaceae;g__uncultured;__	0.00021161266106794175
d__Eukaryota;p__Phragmoplastophyta;c__Embryophyta;__;__;__;__	0.00020894792536172438
d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Ochromonadales;f__Ochromonadales;__;__	0.00020777840923171865
