Feature ID	Taxon	Consensus
006cd4e7db1948fbd202a90ea64d580f	Unassigned	1.0
006d0d842f3e47df57237aa32800706e	d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellae; o__WCHB1-41; f__WCHB1-41; g__WCHB1-41; s__uncultured_organism	1.0
006d5bb25668efda7ef2baa477875da6	d__Eukaryota; p__Ochrophyta; c__Pelagophyceae; o__Sarcinochrysidales; f__Sarcinochrysidales	0.6
006e6705cc527ecbd7b7dd6909bccfd2	Unassigned	1.0
006ff6967239ea9214b995a62f9e992f	d__Eukaryota; p__Cryptophyceae; c__Cryptophyceae; o__Cryptomonadales; f__Cryptomonadales	0.7
007060435722b349765f8208a913e4cb	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae	1.0
00709df3cd96c420a96dee1ac89a1053	Unassigned	1.0
0070da7fbf148467f157faaebbf145c5	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida	0.667
0071b42d5f33c0f970a1157ccabbfaa4	Unassigned	1.0
0071c512c5d8a5c3f1f8b95c0a32d73f	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae	1.0
00727aeba2c603d08333c3f624428d7b	Unassigned	1.0
0073af9882822a9ba79092c3593a4d63	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Benthic_Group_D_and_DHVEG-1; f__Marine_Benthic_Group_D_and_DHVEG-1; g__Marine_Benthic_Group_D_and_DHVEG-1; s__uncultured_archaeon	0.8
00743459591ae2c2f9561e802753c236	d__Eukaryota; p__Gastrotricha; c__Gastrotricha; o__Chaetonotida; f__Chaetonotida; g__Chaetonotida; s__Chaetonotus_sp.	1.0
00758e509fc383fb89a32f61c74f1c61	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II; s__uncultured_eukaryote	0.75
0075c9cc461d6757e07afe89c523348b	d__Eukaryota; p__Cnidaria; c__Myxozoa; o__Multivalvulida; f__Multivalvulida; g__Multivalvulida; s__Kudoa_rosenbuschi	1.0
0075f2c7db9ae242af6d92e74d5442fb	Unassigned	1.0
0076fc316046c871c28a355cea9948c5	Unassigned	1.0
007760a9c86e8b4c2455f65a189b5a10	Unassigned	1.0
007ac519adcd9bb52e2831670f9550eb	Unassigned	1.0
007aff0f3d556dc34d37f049e1d96baa	Unassigned	1.0
007be3ba18714c1c55a3cb0bed8752a7	d__Eukaryota; p__Protalveolata; c__Perkinsidae; o__A31; f__A31; g__A31	1.0
007d4d39c226df946f9139234e9cc15d	d__Eukaryota; p__Peronosporomycetes; c__Peronosporomycetes; o__Peronosporomycetes; f__Peronosporomycetes	1.0
007dd452e3ee70e1cbe44c82087fd712	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae	1.0
007f47e30c8b16f63f0460020d6573a4	d__Eukaryota; p__Cercozoa; c__Cercomonadidae; o__Cercomonadidae; f__Cercomonadidae; g__uncultured	1.0
007f4802641b6a63e91e1c2d6c4faec3	Unassigned	1.0
007f91108d19e29c6a467c2db95370e5	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chlorophyceae	1.0
00800e8c3070ed546f9274c76b313540	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae	0.6
00813c276d4e472d87cda5a9d737da87	Unassigned	1.0
00818d89e5f0c603d4ecda8a909ba9ae	d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10	0.8
0082007328abba0dd995d87b9f732686	Unassigned	1.0
0082cb5494d6c09f52c011045b5e1ef1	Unassigned	1.0
0084c470a809bf20c77181d5b72dfa12	d__Bacteria; p__Myxococcota; c__bacteriap25; o__bacteriap25; f__bacteriap25; g__bacteriap25; s__uncultured_delta	1.0
008519821aa9160bd6f3ff8df1ae768a	Unassigned	1.0
0085596606c18805ad37ca472a672e58	d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales; f__Iainarchaeales; g__Candidatus_Iainarchaeum; s__uncultured_archaeon	1.0
00871003bb7fdc2658a6e07ca45f699d	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II	0.8
00872680e2044c3795626f9616c6145c	Unassigned	1.0
0087b8e0ba7aa1bcc46c5f599414a7af	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae	0.6
0087d9333d4098dd2584f78709d7d1ff	Unassigned	1.0
0089189c586d5c74ae0aa218c2546764	d__Eukaryota; p__MAST-3; c__MAST-3F; o__MAST-3F; f__MAST-3F; g__MAST-3F; s__uncultured_stramenopile	0.7
0089334b2d4270e44d1987cf5d296279	d__Eukaryota; p__Chlorophyta; c__Ulvophyceae; o__Ulvophyceae; f__Ulvophyceae; g__Ulvophyceae	1.0
00899b43ac21a62ef58c1b0c829edeae	Unassigned	1.0
008bb2047542737f452a10843acd62b4	d__Eukaryota; p__Mollusca; c__Gastropoda; o__Heterobranchia; f__Heterobranchia; g__Heterobranchia	1.0
008d592ecfc8c6a25c337c27394ab8c2	d__Eukaryota; p__Cercozoa; c__Cercomonadidae; o__Cercomonadidae; f__Cercomonadidae; g__Cercomonas	0.8
008e2bc67a6ff7a9f872128c8a40dbc0	Unassigned	1.0
008ea2c8a5e3fe79de6084699eb631df	Unassigned	1.0
008edb3060665a8f14936137c54c8d58	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Gracilibacteria; f__Gracilibacteria; g__Gracilibacteria; s__uncultured_organism	0.8
